,path,label
56579,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-SMMLLNSV.tif,4
20869,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-VRAYSECH.tif,3
9799,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-FWQSYQYF.tif,1
53822,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-SVVSRGYM.tif,4
49246,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-HNESGKLS.tif,0
42867,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-IFCFNKHA.tif,0
9000,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-NWQFYTDP.tif,1
48099,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-KWGVGDKF.tif,0
47507,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-MFWNCWEP.tif,0
58093,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-SRMHTVMG.tif,4
13238,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-KVSKRSSN.tif,2
21149,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-QAMTHGPL.tif,3
46666,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-NFTERAAQ.tif,0
7865,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-MRTMNGQD.tif,1
30540,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-TFGNLRLC.tif,3
12133,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-HPYFYHRT.tif,2
25142,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-VLCIMTLG.tif,3
37437,/content/gdrive/MyDrive/NCT-CRC/STR/STR-AVCMRNHS.tif,7
56211,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-IVGWRSWN.tif,4
31025,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-TSPVYKLQ.tif,3
1878,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-EWQHVTVI.tif,1
10204,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-PCSAMKND.tif,1
19379,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-DGQAVEAR.tif,2
20081,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-GREDEDDT.tif,3
16254,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-LIMTCWFY.tif,2
36368,/content/gdrive/MyDrive/NCT-CRC/STR/STR-IVGGIYNL.tif,7
69973,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-NVIDCFFT.tif,8
33073,/content/gdrive/MyDrive/NCT-CRC/STR/STR-SAREACDW.tif,7
26826,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-ICNHYASG.tif,3
71473,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-FEMVMLFC.tif,8
17747,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-RRQKNHME.tif,2
74186,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-WFDYEGWH.tif,8
44197,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-FVVLVPIF.tif,0
62343,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-VSQPTNHL.tif,8
25846,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-RMQNERMK.tif,3
62035,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-SAWDRTSF.tif,8
46839,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-LDFTDFFH.tif,0
2370,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-GDHMGVRP.tif,1
65980,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-YADWALWF.tif,8
56085,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-GKMLNDSI.tif,4
23,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-AGHNYNIG.tif,1
12649,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-MRFWDVPG.tif,2
45532,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-HPHFLRIV.tif,0
56484,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-ITRCWRPW.tif,4
55797,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-AKNCAVHM.tif,4
48655,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-LFYWMTIE.tif,0
64588,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-VNYRPVGN.tif,8
27734,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-LCKYTPTR.tif,3
9717,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-IMHLKKPK.tif,1
53099,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-VGQLTWVR.tif,4
46344,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-PDETCEIG.tif,0
48223,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-PYFRQDDQ.tif,0
1462,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-IAMMIPQF.tif,1
51327,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-MIEPNDDW.tif,0
72880,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-CLPWSARC.tif,8
48259,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-GHWWCSFM.tif,0
38350,/content/gdrive/MyDrive/NCT-CRC/STR/STR-SLQRFIST.tif,7
18486,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-MNDMLKNQ.tif,2
45272,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-ERTGFKAF.tif,0
7415,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-NMDCLRTK.tif,1
68731,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-MAAYKSEC.tif,8
11919,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-QRAHFHMF.tif,2
3959,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-DSITQWGF.tif,1
14085,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-EDWPQASA.tif,2
19157,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-CPKEMPDM.tif,2
48938,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-HKQFNNCG.tif,0
53723,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-WKYSWRTA.tif,4
47285,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-CHTAKYQT.tif,0
21248,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-PADVQTPW.tif,3
19080,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-ECRMESAY.tif,2
42312,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-EMDDTVRL.tif,0
64656,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-TDMYSSDP.tif,8
62149,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-HSWYWDDE.tif,8
55695,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-YPQFTNYI.tif,4
18526,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-PLKECDYE.tif,2
70345,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-DVYNLKCF.tif,8
27447,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-EGDQTCRP.tif,3
17282,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-HQYNRCDA.tif,2
75061,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-AMNRWGQR.tif,8
7488,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-NASRYALL.tif,1
22941,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-FWMQPGRY.tif,3
21209,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-MHGWMKTD.tif,3
48227,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-KNDHAIVW.tif,0
6933,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-AKQRTKAF.tif,1
17253,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-CLPDKYFA.tif,2
43269,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-FFSKKPLW.tif,0
67239,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-HWKMVVKK.tif,8
51465,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-GPVINLDR.tif,0
17882,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-NRAIDIVG.tif,2
31426,/content/gdrive/MyDrive/NCT-CRC/STR/STR-WPQEEIGE.tif,7
47282,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-CIMVTIDA.tif,0
14937,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-MNNVTFEQ.tif,2
74295,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-VGNWRDMW.tif,8
56349,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-YVEWRFWE.tif,4
65943,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-HHSRYNQL.tif,8
19078,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-QCYWMYWT.tif,2
29968,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-IAGYGLKL.tif,3
59776,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-YIAENVFH.tif,4
34335,/content/gdrive/MyDrive/NCT-CRC/STR/STR-HSIGEIPQ.tif,7
7316,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-LYQCVAEM.tif,1
59814,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-FKYLASAF.tif,4
59401,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-KKTSDILC.tif,4
37677,/content/gdrive/MyDrive/NCT-CRC/STR/STR-QVGLKCSG.tif,7
4598,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-HIGQEKEH.tif,1
38390,/content/gdrive/MyDrive/NCT-CRC/STR/STR-FERSMPAR.tif,7
11864,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-QADKTHCP.tif,2
64287,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-PSARGYHH.tif,8
19284,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-EAFPHIND.tif,2
55202,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-SRSAYVPH.tif,4
73944,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-QRRCEISN.tif,8
45682,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-PPFWIEVN.tif,0
53098,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-MRLDNGPD.tif,4
57452,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-CMFEEPEM.tif,4
18233,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-NDLINVNT.tif,2
3080,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-CLLHNPVA.tif,1
53349,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-LEWDMPVA.tif,4
32822,/content/gdrive/MyDrive/NCT-CRC/STR/STR-MACVFWFM.tif,7
39020,/content/gdrive/MyDrive/NCT-CRC/STR/STR-IIKLMEMF.tif,7
48629,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-KIGISYLE.tif,0
71421,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-GEVNIWPV.tif,8
43533,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-PCDPVGFF.tif,0
60922,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-CFSMDVMR.tif,8
16513,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-KSCNCMKQ.tif,2
14952,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-EQIWSKVT.tif,2
30059,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-MWNYHVWQ.tif,3
38211,/content/gdrive/MyDrive/NCT-CRC/STR/STR-WQWAWKEK.tif,7
26248,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-SHTMSGRR.tif,3
63306,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-MVMVCPTD.tif,8
60869,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-FHHYVRWS.tif,8
13226,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-SHYYMCCM.tif,2
30601,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-RLRVESQD.tif,3
6090,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-DTIPTAVL.tif,1
68745,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-LISDNWVM.tif,8
20379,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-EFYWVDSL.tif,3
42304,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-GTCDVQFG.tif,0
25806,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-GQPAKNEQ.tif,3
25199,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-WQKNFPCS.tif,3
6528,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-DHVVDGVE.tif,1
3605,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-MIKELAMA.tif,1
18634,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-RSRWSCLQ.tif,2
23145,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-MTPWVWSL.tif,3
32361,/content/gdrive/MyDrive/NCT-CRC/STR/STR-ECRPLEGK.tif,7
9576,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-DNIKGCFV.tif,1
12240,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-EVDPLYHT.tif,2
15097,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-KKIYGEAH.tif,2
18459,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-MVLCIWHC.tif,2
14294,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-RLQHWGHS.tif,2
64298,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-REMWTLGW.tif,8
37375,/content/gdrive/MyDrive/NCT-CRC/STR/STR-NKRFFKWM.tif,7
5436,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-KYECQNEE.tif,1
704,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-FQAIPMWK.tif,1
72037,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-EQYHAEDD.tif,8
51145,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-HGNERAQG.tif,0
9242,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-KNKQNHHM.tif,1
3778,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-MIDLMGGL.tif,1
30280,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-GLADFVAV.tif,3
14926,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-MFDSMRFF.tif,2
64949,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-NAGDVATH.tif,8
11271,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-CFFSCLQG.tif,2
66593,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-MMQCNQAQ.tif,8
21642,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-EHISVEDS.tif,3
14830,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-FCNPYTES.tif,2
60781,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-NLWEIGYD.tif,4
62812,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-QDTLMMIE.tif,8
67063,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-PTWMAWKT.tif,8
64459,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-MEFIINFM.tif,8
22190,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-IEGDNPSI.tif,3
45106,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-NSSLDYCA.tif,0
3006,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-LCLKNEFY.tif,1
42730,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-PEYKHCDA.tif,0
35431,/content/gdrive/MyDrive/NCT-CRC/STR/STR-GEEDCHWW.tif,7
15338,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-AWYWQFHH.tif,2
23507,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-KSDRDKHA.tif,3
13082,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-MEGRWKYF.tif,2
61571,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-KCGQNPWH.tif,8
21389,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-DIHKALSV.tif,3
45856,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-IYGRMDMG.tif,0
16728,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-HKHACWCT.tif,2
46591,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-GLMNQTWR.tif,0
65381,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-HFDVVRNM.tif,8
65061,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-EFYWTTRN.tif,8
43942,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-IEVWLNKG.tif,0
6986,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-GGPAAIRG.tif,1
45657,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-HEARRNGA.tif,0
27161,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-SWCTVCDW.tif,3
31683,/content/gdrive/MyDrive/NCT-CRC/STR/STR-WFLHPVPT.tif,7
59833,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-IVCNTCYQ.tif,4
42071,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-ELYCYSQC.tif,0
54129,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-APYGRAYE.tif,4
65475,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-LAWMKWPK.tif,8
12499,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-SEMVIDGP.tif,2
18306,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-PYDYWNSV.tif,2
51915,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-CTRFSCYV.tif,4
57786,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-RHPCMLSK.tif,4
23438,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-NGSQINAG.tif,3
74770,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-MPVLSFSD.tif,8
9348,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-NRYNGLAF.tif,1
69487,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-ALEPTQEY.tif,8
26875,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-WIKLMKIL.tif,3
1400,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-MISWRLVD.tif,1
44438,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-PQQHIAMF.tif,0
14617,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-CQDMHYTL.tif,2
32913,/content/gdrive/MyDrive/NCT-CRC/STR/STR-CGFRWCAG.tif,7
33988,/content/gdrive/MyDrive/NCT-CRC/STR/STR-HLWAWDQI.tif,7
39959,/content/gdrive/MyDrive/NCT-CRC/STR/STR-MTWSEVYN.tif,7
46272,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-PVTGSIEC.tif,0
41886,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-GEGHKCMH.tif,0
42851,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-LEQRKVHQ.tif,0
55353,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-ACGWRTPH.tif,4
63102,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-LSSGLHII.tif,8
233,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-ICIKHCCM.tif,1
72415,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-TARDKIRN.tif,8
68636,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-AYRMRYLY.tif,8
53793,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-WEFKNKFR.tif,4
47631,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-EANAQSPY.tif,0
52648,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-LQSKYNII.tif,4
19451,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-CQATRAQQ.tif,2
5092,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-GCVPEEGT.tif,1
8031,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-DPALICWN.tif,1
13671,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-PVNKEQWD.tif,2
23515,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-GSKWCDIW.tif,3
9695,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-FRKPFTSC.tif,1
38791,/content/gdrive/MyDrive/NCT-CRC/STR/STR-MRCGPTMH.tif,7
23392,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-NENIDNGK.tif,3
31554,/content/gdrive/MyDrive/NCT-CRC/STR/STR-FVTRLSGI.tif,7
72610,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-DYKIDQWE.tif,8
23185,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-MPDHCSRT.tif,3
39879,/content/gdrive/MyDrive/NCT-CRC/STR/STR-YYVTYFGM.tif,7
17613,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-QSTKWQCG.tif,2
24057,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-RLDSFTFT.tif,3
61697,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-GMDGWWES.tif,8
73787,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-SIWAQDYK.tif,8
53326,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-FLTEHPNF.tif,4
71522,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-QDDLMQIQ.tif,8
71653,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-GGNCFEDR.tif,8
1611,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-GGWMKYKA.tif,1
42611,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-HTLKPQGS.tif,0
71914,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-NVMVTECD.tif,8
59685,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-CHEYEVFE.tif,4
63332,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-WFMETDWK.tif,8
64329,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-CREHPEKN.tif,8
28100,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-VGMIAFNG.tif,3
53400,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-CQRMVQIH.tif,4
44953,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-AANTGCGD.tif,0
30897,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-TPHLPRLK.tif,3
31303,/content/gdrive/MyDrive/NCT-CRC/STR/STR-TWHHPVSW.tif,7
5462,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-GTPHKCCN.tif,1
48427,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-NMGHKWNV.tif,0
54393,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-DNGESEWN.tif,4
59297,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-WCTDRPWG.tif,4
2222,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-AWGMMLEG.tif,1
52861,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-AWCYDVGM.tif,4
73009,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-RMLRGIDE.tif,8
28788,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-GEDGLHFP.tif,3
62246,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-DEWSPKVL.tif,8
67134,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-CTSLFPCG.tif,8
58730,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-KWVPNHTE.tif,4
46003,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-PLYDWGNR.tif,0
43698,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-GGGKEQWR.tif,0
55289,/content/gdrive/MyDrive/NCT-CRC/MUC/MUC-KYNATMTI.tif,4
30052,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-VKQYSICQ.tif,3
62892,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-IMKHCNNY.tif,8
20090,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-WHYHVRLF.tif,3
69,/content/gdrive/MyDrive/NCT-CRC/BACK/BACK-GNLIHGWK.tif,1
38316,/content/gdrive/MyDrive/NCT-CRC/STR/STR-FFMWDSKH.tif,7
11914,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-KPFTHRKP.tif,2
43095,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-FPQVQDWT.tif,0
19052,/content/gdrive/MyDrive/NCT-CRC/DEB/DEB-LDRTNMEQ.tif,2
28934,/content/gdrive/MyDrive/NCT-CRC/LYM/LYM-GKNSKCHT.tif,3
66561,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-LGNIWGCH.tif,8
43408,/content/gdrive/MyDrive/NCT-CRC/ADI/ADI-DPEVIDDN.tif,0
68920,/content/gdrive/MyDrive/NCT-CRC/TUM/TUM-HLLNAEPS.tif,8
